"filename", "language", "JSON", "Markdown", "Python", "XML", "Properties", "Java", "Vue", "HTML", "JavaScript", "Excel", "JSON with Comments", "Batch", "comment", "blank", "total"
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_3.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 3, 212
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_4.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 3, 220
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_5.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 3, 196
"e:\code\Shanruan_app\shanruan\electron-vue3\public\chartdeal_6.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 3, 204
"e:\code\Shanruan_app\shanruan\electron-vue3\public\hot_point(1).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 4, 238
"e:\code\Shanruan_app\shanruan\electron-vue3\public\hot_point(2).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 4, 238
"e:\code\Shanruan_app\shanruan\electron-vue3\public\hot_point.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 4, 238
"e:\code\Shanruan_app\shanruan\electron-vue3\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"e:\code\Shanruan_app\shanruan\electron-vue3\public\new_hot(1).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 4, 263
"e:\code\Shanruan_app\shanruan\electron-vue3\public\new_hot(2).html", "HTML", 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 4, 272
"e:\code\Shanruan_app\shanruan\electron-vue3\public\new_hot.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 4, 263
"e:\code\Shanruan_app\shanruan\electron-vue3\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"e:\code\Shanruan_app\shanruan\electron-vue3\src\background.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 24, 9, 82
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\Background.vue", "Vue", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 1, 3, 197
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\Structure.vue", "Vue", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 0, 0, 29, 13, 599
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Deal.vue", "Vue", 0, 0, 0, 0, 0, 0, 912, 0, 0, 0, 0, 0, 14, 8, 934
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Dealsample.vue", "Vue", 0, 0, 0, 0, 0, 0, 713, 0, 0, 0, 0, 0, 13, 6, 732
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Dig.vue", "Vue", 0, 0, 0, 0, 0, 0, 653, 0, 0, 0, 0, 0, 12, 8, 673
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 5, 3, 172
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Hot.vue", "Vue", 0, 0, 0, 0, 0, 0, 748, 0, 0, 0, 0, 0, 14, 8, 770
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Search.vue", "Vue", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 7, 6, 483
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\Searchsample.vue", "Vue", 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 3, 3, 368
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\datepicker\DatePicker.vue", "Vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\datepicker\LocationSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 3, 76
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\dealpage\Deal1.vue", "Vue", 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 3, 2, 409
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\dealpage\Deal2.vue", "Vue", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 2, 73
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\dealpage\Dealmessage.vue", "Vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\dealpage\mode1.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\emotion\emotion.vue", "Vue", 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 9, 4, 217
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\graph\bar4dig.vue", "Vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 3, 3, 78
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions\searchkeywords\keywords.vue", "Vue", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 1, 3, 123
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions_new\Album.vue", "Vue", 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 8, 11, 397
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions_new\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 2, 2, 144
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions_new\Picture.vue", "Vue", 0, 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 9, 7, 335
"e:\code\Shanruan_app\shanruan\electron-vue3\src\components\functions_new\Remen.vue", "Vue", 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 15, 13, 412
